cell_id,district,latitude,longitude,spatial_block_id,slope_mean,elevation_mean,curvature_mean,twi_mean,terrain_susceptibility_score,terrain_susceptibility_class,pu_terrain_similarity,pu_similarity_class,primary_terrain_contributors,label_status,historical_event_id
KOH_00024,Kohima,25.662868,93.903799,BLK_KOH_R14_C20,30.86927,969.374512,-0.198194,5.873408,76.87,HIGH,0.5412,MODERATE_TERRAIN_SIMILARITY,"Slope (50%), TWI (15%), Curvature (16%), Relief (19%)",UNKNOWN,
KOH_00025,Kohima,25.667383,93.903833,BLK_KOH_R14_C20,32.734657,994.136963,0.215038,4.979737,63.45,MODERATE,0.3633,LOW_TERRAIN_SIMILARITY,"Slope (63%), TWI (10%), Curvature (4%), Relief (23%)",UNKNOWN,
KOH_00026,Kohima,25.671897,93.903867,BLK_KOH_R14_C20,29.842583,1009.04248,-0.16914,5.918163,72.86,HIGH,0.7605,HIGH_TERRAIN_SIMILARITY,"Slope (47%), TWI (16%), Curvature (16%), Relief (21%)",UNKNOWN,
KOH_00027,Kohima,25.676412,93.903901,BLK_KOH_R15_C20,29.335819,1110.066772,0.19054,5.119509,61.84,MODERATE,0.5406,MODERATE_TERRAIN_SIMILARITY,"Slope (59%), TWI (11%), Curvature (5%), Relief (25%)",UNKNOWN,
KOH_00028,Kohima,25.680926,93.903935,BLK_KOH_R15_C20,32.557869,900.383728,-0.202484,5.691502,76.4,HIGH,0.4998,MODERATE_TERRAIN_SIMILARITY,"Slope (51%), TWI (14%), Curvature (16%), Relief (19%)",UNKNOWN,
KOH_00029,Kohima,25.685439,93.903972,BLK_KOH_R15_C20,26.157551,845.051697,0.131561,5.387689,61.49,MODERATE,0.6727,MODERATE_TERRAIN_SIMILARITY,"Slope (54%), TWI (14%), Curvature (7%), Relief (25%)",UNKNOWN,
KOH_00030,Kohima,25.689728,93.904509,BLK_KOH_R15_C20,26.370972,839.049316,0.031197,5.273806,58.17,MODERATE,0.7343,MODERATE_TERRAIN_SIMILARITY,"Slope (55%), TWI (14%), Curvature (12%), Relief (19%)",UNKNOWN,
KOH_00031,Kohima,25.693836,93.905628,BLK_KOH_R15_C20,18.55706,723.048035,-0.229793,6.591389,59.68,MODERATE,0.4132,MODERATE_TERRAIN_SIMILARITY,"Slope (37%), TWI (27%), Curvature (21%), Relief (15%)",UNKNOWN,
KOH_00032,Kohima,25.696804,93.906491,BLK_KOH_R15_C20,,,,,,NODATA_BORDER,,NODATA_BORDER,NoData Terrain Boundary Cell,UNKNOWN,
KOH_00033,Kohima,25.628342,93.910366,BLK_KOH_R13_C20,23.563711,2139.564209,-0.05738,6.197608,53.31,MODERATE,0.2795,LOW_TERRAIN_SIMILARITY,"Slope (46%), TWI (26%), Curvature (16%), Relief (12%)",UNKNOWN,
KOH_00034,Kohima,25.631493,93.908879,BLK_KOH_R14_C20,34.789047,2159.089355,0.24006,4.904106,66.68,MODERATE,0.0731,DISSIMILAR_TERRAIN,"Slope (66%), TWI (8%), Curvature (3%), Relief (23%)",UNKNOWN,
KOH_00035,Kohima,25.63575,93.908575,BLK_KOH_R14_C20,42.532337,1836.026855,-0.134929,5.324291,78.81,HIGH,0.0859,DISSIMILAR_TERRAIN,"Slope (57%), TWI (11%), Curvature (13%), Relief (19%)",UNKNOWN,
KOH_00036,Kohima,25.640264,93.90861,BLK_KOH_R14_C20,34.653004,1609.343994,0.09461,5.141678,71.52,HIGH,0.2041,LOW_TERRAIN_SIMILARITY,"Slope (62%), TWI (10%), Curvature (8%), Relief (20%)",UNKNOWN,
KOH_00037,Kohima,25.644779,93.908644,BLK_KOH_R14_C20,35.063644,1432.877319,-0.127297,5.360898,77.19,HIGH,0.2931,LOW_TERRAIN_SIMILARITY,"Slope (56%), TWI (11%), Curvature (13%), Relief (20%)",UNKNOWN,
