cell_id,district,latitude,longitude,spatial_block_id,slope_mean,elevation_mean,curvature_mean,twi_mean,terrain_susceptibility_score,terrain_susceptibility_class,pu_terrain_similarity,pu_similarity_class,primary_terrain_contributors,label_status,historical_event_id
KOH_02376,Kohima,25.770028,94.079119,BLK_KOH_R17_C23,19.640108,1382.637695,0.177049,5.522766,48.49,LOW,0.734,MODERATE_TERRAIN_SIMILARITY,"Slope (51%), TWI (20%), Curvature (7%), Relief (22%)",UNKNOWN,
KOH_02377,Kohima,25.774542,94.07916,BLK_KOH_R17_C23,20.916595,1425.092773,0.095788,5.500392,51.43,MODERATE,0.8235,HIGH_TERRAIN_SIMILARITY,"Slope (51%), TWI (18%), Curvature (10%), Relief (21%)",UNKNOWN,
KOH_02378,Kohima,25.779056,94.0792,BLK_KOH_R17_C23,22.099625,1381.537109,0.08771,5.587277,58.65,MODERATE,0.8778,HIGH_TERRAIN_SIMILARITY,"Slope (52%), TWI (17%), Curvature (9%), Relief (22%)",UNKNOWN,
KOH_02379,Kohima,25.78357,94.079241,BLK_KOH_R17_C23,18.461456,1220.937012,-0.133344,6.580319,59.38,MODERATE,0.6875,MODERATE_TERRAIN_SIMILARITY,"Slope (39%), TWI (27%), Curvature (18%), Relief (16%)",UNKNOWN,
KOH_02380,Kohima,25.788085,94.079282,BLK_KOH_R17_C23,16.114975,1125.770508,-0.08815,6.002032,51.73,MODERATE,0.7229,MODERATE_TERRAIN_SIMILARITY,"Slope (42%), TWI (24%), Curvature (18%), Relief (16%)",UNKNOWN,
KOH_02381,Kohima,25.792599,94.079323,BLK_KOH_R17_C23,17.419146,1073.859253,-0.076586,6.349652,55.58,MODERATE,0.8016,HIGH_TERRAIN_SIMILARITY,"Slope (43%), TWI (26%), Curvature (17%), Relief (14%)",UNKNOWN,
KOH_02382,Kohima,25.797113,94.079364,BLK_KOH_R17_C23,20.197523,1032.72876,-0.184038,6.285571,62.39,MODERATE,0.8186,HIGH_TERRAIN_SIMILARITY,"Slope (45%), TWI (23%), Curvature (19%), Relief (13%)",UNKNOWN,
KOH_02383,Kohima,25.801627,94.079405,BLK_KOH_R17_C23,24.892441,979.189697,-0.173928,5.787772,65.57,MODERATE,0.8248,HIGH_TERRAIN_SIMILARITY,"Slope (48%), TWI (17%), Curvature (17%), Relief (18%)",UNKNOWN,
KOH_02384,Kohima,25.806142,94.079446,BLK_KOH_R17_C23,26.119732,945.612915,-0.058343,5.61648,68.18,MODERATE,0.7337,MODERATE_TERRAIN_SIMILARITY,"Slope (51%), TWI (15%), Curvature (13%), Relief (21%)",UNKNOWN,
KOH_02385,Kohima,25.810656,94.079487,BLK_KOH_R18_C23,23.198635,902.021545,0.024517,5.591974,60.36,MODERATE,0.8618,HIGH_TERRAIN_SIMILARITY,"Slope (49%), TWI (16%), Curvature (12%), Relief (23%)",UNKNOWN,
KOH_02386,Kohima,25.81517,94.079527,BLK_KOH_R18_C23,19.415178,833.765076,0.037248,6.054659,55.58,MODERATE,0.8086,HIGH_TERRAIN_SIMILARITY,"Slope (48%), TWI (23%), Curvature (12%), Relief (17%)",UNKNOWN,
KOH_02387,Kohima,25.819684,94.079568,BLK_KOH_R18_C23,21.680834,748.574158,-0.118599,5.74996,58.49,MODERATE,0.7432,MODERATE_TERRAIN_SIMILARITY,"Slope (48%), TWI (19%), Curvature (17%), Relief (16%)",UNKNOWN,
KOH_02388,Kohima,25.824199,94.079609,BLK_KOH_R18_C23,21.388384,754.152039,-0.055435,5.912171,57.59,MODERATE,0.7462,MODERATE_TERRAIN_SIMILARITY,"Slope (46%), TWI (21%), Curvature (15%), Relief (18%)",UNKNOWN,
KOH_02389,Kohima,25.828713,94.07965,BLK_KOH_R18_C23,22.936172,872.749146,0.139853,5.460804,55.25,MODERATE,0.7599,HIGH_TERRAIN_SIMILARITY,"Slope (52%), TWI (17%), Curvature (8%), Relief (23%)",UNKNOWN,
KOH_02390,Kohima,25.833227,94.079691,BLK_KOH_R18_C23,17.901896,828.795776,0.037749,6.018665,52.4,MODERATE,0.6682,MODERATE_TERRAIN_SIMILARITY,"Slope (44%), TWI (24%), Curvature (13%), Relief (19%)",UNKNOWN,
KOH_02391,Kohima,25.837741,94.079732,BLK_KOH_R18_C23,18.660254,725.929077,-0.153634,6.718568,58.45,MODERATE,0.5102,MODERATE_TERRAIN_SIMILARITY,"Slope (41%), TWI (29%), Curvature (19%), Relief (11%)",UNKNOWN,
KOH_02392,Kohima,25.842256,94.079773,BLK_KOH_R18_C23,16.197603,804.767395,0.027628,5.961462,49.05,LOW,0.6427,MODERATE_TERRAIN_SIMILARITY,"Slope (45%), TWI (25%), Curvature (14%), Relief (16%)",UNKNOWN,
KOH_02393,Kohima,25.84677,94.079814,BLK_KOH_R18_C23,18.422985,868.647461,0.120691,5.608058,48.43,LOW,0.72,MODERATE_TERRAIN_SIMILARITY,"Slope (51%), TWI (21%), Curvature (10%), Relief (18%)",UNKNOWN,
KOH_02394,Kohima,25.851284,94.079855,BLK_KOH_R18_C23,16.812572,842.410889,-0.058912,6.648306,57.9,MODERATE,0.6046,MODERATE_TERRAIN_SIMILARITY,"Slope (39%), TWI (29%), Curvature (15%), Relief (17%)",UNKNOWN,
KOH_02395,Kohima,25.855798,94.079896,BLK_KOH_R19_C23,20.309574,854.58374,0.066659,5.862011,54.54,MODERATE,0.7313,MODERATE_TERRAIN_SIMILARITY,"Slope (45%), TWI (21%), Curvature (11%), Relief (23%)",UNKNOWN,
KOH_02396,Kohima,25.860312,94.079937,BLK_KOH_R19_C23,21.141565,755.483093,0.104068,5.77731,57.84,MODERATE,0.7346,MODERATE_TERRAIN_SIMILARITY,"Slope (48%), TWI (19%), Curvature (9%), Relief (24%)",UNKNOWN,
KOH_02397,Kohima,25.864827,94.079978,BLK_KOH_R19_C23,21.459917,677.284912,-0.076023,5.914434,58.69,MODERATE,0.6895,MODERATE_TERRAIN_SIMILARITY,"Slope (46%), TWI (20%), Curvature (16%), Relief (18%)",UNKNOWN,
KOH_02398,Kohima,25.869341,94.080019,BLK_KOH_R19_C24,21.900803,674.939941,0.044327,5.690999,56.46,MODERATE,0.6614,MODERATE_TERRAIN_SIMILARITY,"Slope (47%), TWI (19%), Curvature (12%), Relief (22%)",UNKNOWN,
KOH_02399,Kohima,25.873855,94.08006,BLK_KOH_R19_C24,22.206215,624.55896,-0.090424,5.817153,61.2,MODERATE,0.6508,MODERATE_TERRAIN_SIMILARITY,"Slope (45%), TWI (19%), Curvature (16%), Relief (20%)",UNKNOWN,
KOH_02400,Kohima,25.878369,94.080101,BLK_KOH_R19_C24,19.136282,666.17804,-0.097576,6.181643,57.31,MODERATE,0.5457,MODERATE_TERRAIN_SIMILARITY,"Slope (41%), TWI (24%), Curvature (17%), Relief (18%)",UNKNOWN,
KOH_02401,Kohima,25.882883,94.080142,BLK_KOH_R19_C24,19.789221,790.779053,0.059254,5.729814,51.09,MODERATE,0.7655,HIGH_TERRAIN_SIMILARITY,"Slope (52%), TWI (21%), Curvature (12%), Relief (15%)",UNKNOWN,
KOH_02402,Kohima,25.887398,94.080184,BLK_KOH_R19_C24,22.219467,870.866699,0.177196,5.366333,51.82,MODERATE,0.6902,MODERATE_TERRAIN_SIMILARITY,"Slope (53%), TWI (16%), Curvature (7%), Relief (24%)",UNKNOWN,
KOH_02403,Kohima,25.891912,94.080225,BLK_KOH_R19_C24,22.167538,778.676392,0.076164,5.599391,55.26,MODERATE,0.732,MODERATE_TERRAIN_SIMILARITY,"Slope (49%), TWI (18%), Curvature (10%), Relief (23%)",UNKNOWN,
KOH_02404,Kohima,25.896426,94.080266,BLK_KOH_R19_C24,19.906824,681.557434,0.136784,5.579176,50.17,MODERATE,0.6343,MODERATE_TERRAIN_SIMILARITY,"Slope (54%), TWI (20%), Curvature (9%), Relief (17%)",UNKNOWN,
KOH_02405,Kohima,25.90094,94.080307,BLK_KOH_R20_C24,19.391926,603.288086,-0.029836,5.790539,55.93,MODERATE,0.635,MODERATE_TERRAIN_SIMILARITY,"Slope (48%), TWI (20%), Curvature (15%), Relief (17%)",UNKNOWN,
KOH_02406,Kohima,25.905454,94.080348,BLK_KOH_R20_C24,17.91017,565.915588,0.192886,5.480184,43.97,LOW,0.4309,MODERATE_TERRAIN_SIMILARITY,"Slope (53%), TWI (21%), Curvature (7%), Relief (19%)",UNKNOWN,
KOH_02407,Kohima,25.909969,94.080389,BLK_KOH_R20_C24,22.060501,487.915039,0.072938,5.560837,54.98,MODERATE,0.5219,MODERATE_TERRAIN_SIMILARITY,"Slope (53%), TWI (18%), Curvature (11%), Relief (18%)",UNKNOWN,
KOH_02408,Kohima,25.914483,94.08043,BLK_KOH_R20_C24,25.580898,480.315247,0.055589,5.294363,60.22,MODERATE,0.4196,MODERATE_TERRAIN_SIMILARITY,"Slope (56%), TWI (13%), Curvature (10%), Relief (21%)",UNKNOWN,
KOH_02409,Kohima,25.918997,94.080471,BLK_KOH_R20_C24,27.486631,462.599487,0.046504,5.328739,61.64,MODERATE,0.4295,MODERATE_TERRAIN_SIMILARITY,"Slope (55%), TWI (13%), Curvature (10%), Relief (22%)",UNKNOWN,
KOH_02410,Kohima,25.923511,94.080513,BLK_KOH_R20_C24,22.219345,441.195648,0.051446,5.960865,60.72,MODERATE,0.5053,MODERATE_TERRAIN_SIMILARITY,"Slope (47%), TWI (20%), Curvature (10%), Relief (23%)",UNKNOWN,
KOH_02411,Kohima,25.928025,94.080554,BLK_KOH_R20_C24,21.216368,437.372467,0.040856,5.988738,59.19,MODERATE,0.4989,MODERATE_TERRAIN_SIMILARITY,"Slope (46%), TWI (21%), Curvature (11%), Relief (22%)",UNKNOWN,
KOH_02412,Kohima,25.932539,94.080595,BLK_KOH_R20_C24,19.708593,420.644958,0.045879,5.982332,56.16,MODERATE,0.4293,MODERATE_TERRAIN_SIMILARITY,"Slope (44%), TWI (22%), Curvature (12%), Relief (22%)",UNKNOWN,
KOH_02413,Kohima,25.937054,94.080636,BLK_KOH_R20_C24,16.862549,407.432556,0.015936,6.049858,50.73,MODERATE,0.3861,LOW_TERRAIN_SIMILARITY,"Slope (45%), TWI (25%), Curvature (14%), Relief (16%)",UNKNOWN,
KOH_02414,Kohima,25.941568,94.080677,BLK_KOH_R20_C24,18.761042,380.971954,-0.117651,6.403375,63.63,MODERATE,0.4033,MODERATE_TERRAIN_SIMILARITY,"Slope (42%), TWI (24%), Curvature (16%), Relief (18%)",UNKNOWN,
KOH_02415,Kohima,25.946082,94.080718,BLK_KOH_R21_C24,19.142084,370.599152,-0.118721,6.580887,63.82,MODERATE,0.3781,LOW_TERRAIN_SIMILARITY,"Slope (42%), TWI (25%), Curvature (16%), Relief (17%)",UNKNOWN,
KOH_02416,Kohima,25.950596,94.08076,BLK_KOH_R21_C24,20.394058,424.965607,0.0962,5.757304,54.57,MODERATE,0.4105,MODERATE_TERRAIN_SIMILARITY,"Slope (45%), TWI (20%), Curvature (10%), Relief (25%)",UNKNOWN,
KOH_02417,Kohima,25.95511,94.080801,BLK_KOH_R21_C24,19.452505,405.511902,-0.035016,5.889136,59.68,MODERATE,0.4562,MODERATE_TERRAIN_SIMILARITY,"Slope (43%), TWI (20%), Curvature (14%), Relief (23%)",UNKNOWN,
KOH_02418,Kohima,25.959624,94.080842,BLK_KOH_R21_C24,16.959496,339.606354,-0.06063,6.000515,55.4,MODERATE,0.3707,LOW_TERRAIN_SIMILARITY,"Slope (43%), TWI (23%), Curvature (16%), Relief (18%)",UNKNOWN,
KOH_02419,Kohima,25.964139,94.080883,BLK_KOH_R21_C24,19.289759,341.496185,-0.051972,5.83915,57.37,MODERATE,0.4025,MODERATE_TERRAIN_SIMILARITY,"Slope (50%), TWI (20%), Curvature (15%), Relief (15%)",UNKNOWN,
KOH_02420,Kohima,25.968653,94.080925,BLK_KOH_R21_C24,25.359585,428.729248,0.02512,5.456775,64.8,MODERATE,0.3726,LOW_TERRAIN_SIMILARITY,"Slope (53%), TWI (14%), Curvature (11%), Relief (22%)",UNKNOWN,
KOH_02421,Kohima,25.973167,94.080966,BLK_KOH_R21_C24,25.724691,563.949524,0.314891,5.112266,51.61,MODERATE,0.3517,LOW_TERRAIN_SIMILARITY,"Slope (61%), TWI (13%), Curvature (1%), Relief (25%)",UNKNOWN,
KOH_02422,Kohima,25.977681,94.081007,BLK_KOH_R21_C24,24.524763,618.626465,0.062473,5.526949,61.9,MODERATE,0.5069,MODERATE_TERRAIN_SIMILARITY,"Slope (55%), TWI (15%), Curvature (10%), Relief (20%)",UNKNOWN,
KOH_02423,Kohima,25.982195,94.081048,BLK_KOH_R21_C24,20.326986,687.893921,0.179934,5.509539,48.63,LOW,0.5953,MODERATE_TERRAIN_SIMILARITY,"Slope (55%), TWI (19%), Curvature (7%), Relief (19%)",UNKNOWN,
KOH_02424,Kohima,25.986709,94.08109,BLK_KOH_R21_C24,18.049604,618.643188,-0.044164,6.073209,59.29,MODERATE,0.5339,MODERATE_TERRAIN_SIMILARITY,"Slope (50%), TWI (22%), Curvature (14%), Relief (14%)",UNKNOWN,
KOH_02425,Kohima,25.991223,94.081131,BLK_KOH_R22_C24,26.373741,643.317078,0.230878,5.100875,55.32,MODERATE,0.3935,LOW_TERRAIN_SIMILARITY,"Slope (62%), TWI (12%), Curvature (4%), Relief (22%)",UNKNOWN,
KOH_02426,Kohima,25.995737,94.081172,BLK_KOH_R22_C24,22.806351,539.905151,-0.037247,5.729622,60.72,MODERATE,0.5938,MODERATE_TERRAIN_SIMILARITY,"Slope (47%), TWI (18%), Curvature (14%), Relief (21%)",UNKNOWN,
KOH_02427,Kohima,25.999445,94.081238,BLK_KOH_R22_C24,24.880159,480.889404,-0.28112,6.193569,72.07,HIGH,0.4152,MODERATE_TERRAIN_SIMILARITY,"Slope (43%), TWI (19%), Curvature (19%), Relief (19%)",UNKNOWN,
KOH_02428,Kohima,25.555387,94.084204,BLK_KOH_R12_C24,,,,,,NODATA_BORDER,,NODATA_BORDER,NoData Terrain Boundary Cell,UNKNOWN,
KOH_02429,Kohima,25.55789,94.082216,BLK_KOH_R12_C24,26.259981,2599.170898,-0.306065,5.642624,66.9,MODERATE,0.0954,DISSIMILAR_TERRAIN,"Slope (48%), TWI (15%), Curvature (22%), Relief (15%)",UNKNOWN,
KOH_02430,Kohima,25.562331,94.082228,BLK_KOH_R12_C24,21.138184,2717.984863,0.224528,5.489288,53.32,MODERATE,0.0587,DISSIMILAR_TERRAIN,"Slope (60%), TWI (17%), Curvature (5%), Relief (18%)",UNKNOWN,
KOH_02431,Kohima,25.566846,94.082268,BLK_KOH_R12_C24,24.264194,2764.181152,0.168848,5.322053,63.22,MODERATE,0.0215,DISSIMILAR_TERRAIN,"Slope (61%), TWI (13%), Curvature (6%), Relief (20%)",UNKNOWN,
KOH_02432,Kohima,25.57136,94.082309,BLK_KOH_R12_C24,38.422562,2804.256836,0.186806,4.79801,68.28,MODERATE,0.0021,DISSIMILAR_TERRAIN,"Slope (66%), TWI (7%), Curvature (5%), Relief (22%)",UNKNOWN,
KOH_02433,Kohima,25.575875,94.08235,BLK_KOH_R12_C24,37.757977,2668.594727,0.091364,4.973864,70.21,HIGH,0.0314,DISSIMILAR_TERRAIN,"Slope (62%), TWI (9%), Curvature (8%), Relief (21%)",UNKNOWN,
KOH_02434,Kohima,25.580389,94.08239,BLK_KOH_R12_C24,36.502472,2473.706543,-0.17814,5.559394,81.25,HIGH,0.0438,DISSIMILAR_TERRAIN,"Slope (55%), TWI (12%), Curvature (14%), Relief (19%)",UNKNOWN,
KOH_02435,Kohima,25.584903,94.082431,BLK_KOH_R12_C24,39.020741,2460.775391,-0.25799,5.552291,83.01,HIGH,0.0461,DISSIMILAR_TERRAIN,"Slope (54%), TWI (12%), Curvature (16%), Relief (18%)",UNKNOWN,
KOH_02436,Kohima,25.589418,94.082471,BLK_KOH_R13_C24,31.213457,2589.805664,0.425748,4.913306,58.03,MODERATE,0.04,DISSIMILAR_TERRAIN,"Slope (64%), TWI (10%), Curvature (0%), Relief (26%)",UNKNOWN,
KOH_02437,Kohima,25.593932,94.082512,BLK_KOH_R13_C24,35.028233,2346.81665,0.236045,5.06823,63.75,MODERATE,0.1047,DISSIMILAR_TERRAIN,"Slope (63%), TWI (10%), Curvature (3%), Relief (24%)",UNKNOWN,
KOH_02438,Kohima,25.598447,94.082553,BLK_KOH_R13_C24,30.812191,2088.171387,-0.215357,6.151087,80.59,HIGH,0.2004,LOW_TERRAIN_SIMILARITY,"Slope (49%), TWI (17%), Curvature (15%), Relief (19%)",UNKNOWN,
KOH_02439,Kohima,25.602961,94.082593,BLK_KOH_R13_C24,28.939804,2113.644775,-0.182695,6.271946,77.33,HIGH,0.2848,LOW_TERRAIN_SIMILARITY,"Slope (47%), TWI (18%), Curvature (15%), Relief (20%)",UNKNOWN,
KOH_02440,Kohima,25.607475,94.082634,BLK_KOH_R13_C24,26.666109,2257.770508,0.037423,5.561345,63.67,MODERATE,0.2994,LOW_TERRAIN_SIMILARITY,"Slope (51%), TWI (15%), Curvature (10%), Relief (24%)",UNKNOWN,
KOH_02441,Kohima,25.61199,94.082675,BLK_KOH_R13_C24,31.817516,2268.808594,-0.048693,5.413153,70.39,HIGH,0.2058,LOW_TERRAIN_SIMILARITY,"Slope (54%), TWI (13%), Curvature (12%), Relief (21%)",UNKNOWN,
KOH_02442,Kohima,25.616504,94.082715,BLK_KOH_R13_C24,35.01997,2129.103516,-0.075749,5.376637,74.3,HIGH,0.1864,LOW_TERRAIN_SIMILARITY,"Slope (56%), TWI (12%), Curvature (12%), Relief (20%)",UNKNOWN,
KOH_02443,Kohima,25.621018,94.082756,BLK_KOH_R13_C24,32.025196,2019.759644,-0.061796,5.558068,73.86,HIGH,0.2541,LOW_TERRAIN_SIMILARITY,"Slope (54%), TWI (13%), Curvature (12%), Relief (21%)",UNKNOWN,
KOH_02444,Kohima,25.625533,94.082797,BLK_KOH_R13_C24,36.744865,2095.745117,0.265568,4.88945,64.5,MODERATE,0.1148,DISSIMILAR_TERRAIN,"Slope (66%), TWI (9%), Curvature (2%), Relief (23%)",UNKNOWN,
KOH_02445,Kohima,25.630047,94.082837,BLK_KOH_R14_C24,28.505781,2010.165039,-0.263878,6.090002,76.56,HIGH,0.3518,LOW_TERRAIN_SIMILARITY,"Slope (46%), TWI (17%), Curvature (18%), Relief (19%)",UNKNOWN,
KOH_02446,Kohima,25.634561,94.082878,BLK_KOH_R14_C24,31.275806,2179.973389,-0.071598,5.541174,71.04,HIGH,0.2681,LOW_TERRAIN_SIMILARITY,"Slope (53%), TWI (14%), Curvature (13%), Relief (20%)",UNKNOWN,
KOH_02447,Kohima,25.639076,94.082919,BLK_KOH_R14_C24,27.0784,2290.164551,0.248656,5.087043,57.5,MODERATE,0.1791,LOW_TERRAIN_SIMILARITY,"Slope (59%), TWI (12%), Curvature (3%), Relief (26%)",UNKNOWN,
KOH_02448,Kohima,25.64359,94.08296,BLK_KOH_R14_C24,31.763166,2088.181885,0.079322,5.482659,66.88,MODERATE,0.3218,LOW_TERRAIN_SIMILARITY,"Slope (55%), TWI (14%), Curvature (9%), Relief (22%)",UNKNOWN,
KOH_02449,Kohima,25.648104,94.083,BLK_KOH_R14_C24,25.845194,1831.921875,-0.205492,6.519158,74.63,HIGH,0.5297,MODERATE_TERRAIN_SIMILARITY,"Slope (43%), TWI (21%), Curvature (16%), Relief (20%)",UNKNOWN,
KOH_02450,Kohima,25.652619,94.083041,BLK_KOH_R14_C24,25.291637,1680.283325,-0.178691,6.318556,68.35,MODERATE,0.6834,MODERATE_TERRAIN_SIMILARITY,"Slope (43%), TWI (21%), Curvature (17%), Relief (19%)",UNKNOWN,
KOH_02451,Kohima,25.657133,94.083082,BLK_KOH_R14_C24,26.522539,1576.07959,-0.159225,5.990965,69.36,MODERATE,0.7893,HIGH_TERRAIN_SIMILARITY,"Slope (46%), TWI (18%), Curvature (16%), Relief (20%)",UNKNOWN,
KOH_02452,Kohima,25.661647,94.083123,BLK_KOH_R14_C24,21.649338,1489.649902,-0.18216,6.330108,67.81,MODERATE,0.8028,HIGH_TERRAIN_SIMILARITY,"Slope (42%), TWI (21%), Curvature (17%), Relief (20%)",UNKNOWN,
KOH_02453,Kohima,25.666162,94.083163,BLK_KOH_R14_C24,16.882969,1453.2229,0.002504,6.240612,53.91,MODERATE,0.7235,MODERATE_TERRAIN_SIMILARITY,"Slope (42%), TWI (26%), Curvature (14%), Relief (18%)",UNKNOWN,
KOH_02454,Kohima,25.670676,94.083204,BLK_KOH_R14_C24,15.412431,1389.739136,0.04701,6.068905,52.66,MODERATE,0.693,MODERATE_TERRAIN_SIMILARITY,"Slope (40%), TWI (25%), Curvature (12%), Relief (23%)",UNKNOWN,
KOH_02455,Kohima,25.67519,94.083245,BLK_KOH_R15_C24,14.660268,1313.627808,0.071242,5.968765,46.47,LOW,0.6017,MODERATE_TERRAIN_SIMILARITY,"Slope (42%), TWI (26%), Curvature (13%), Relief (19%)",UNKNOWN,
KOH_02456,Kohima,25.679705,94.083286,BLK_KOH_R15_C24,16.020697,1204.192993,0.052642,6.139563,50.05,MODERATE,0.7042,MODERATE_TERRAIN_SIMILARITY,"Slope (43%), TWI (27%), Curvature (13%), Relief (17%)",UNKNOWN,
KOH_02457,Kohima,25.684219,94.083327,BLK_KOH_R15_C24,13.317489,1103.754883,-0.039166,6.542857,55.18,MODERATE,0.6849,MODERATE_TERRAIN_SIMILARITY,"Slope (40%), TWI (29%), Curvature (15%), Relief (16%)",UNKNOWN,
KOH_02458,Kohima,25.688733,94.083368,BLK_KOH_R15_C24,17.167994,1081.089111,-0.060207,6.282845,56.2,MODERATE,0.7772,HIGH_TERRAIN_SIMILARITY,"Slope (41%), TWI (25%), Curvature (16%), Relief (18%)",UNKNOWN,
KOH_02459,Kohima,25.693248,94.083408,BLK_KOH_R15_C24,13.124083,1132.338623,-0.069519,6.774406,51.51,MODERATE,0.4772,MODERATE_TERRAIN_SIMILARITY,"Slope (37%), TWI (34%), Curvature (18%), Relief (11%)",UNKNOWN,
KOH_02460,Kohima,25.697762,94.083449,BLK_KOH_R15_C24,17.656879,1217.374756,0.051121,5.738817,48.67,LOW,0.8035,HIGH_TERRAIN_SIMILARITY,"Slope (48%), TWI (22%), Curvature (13%), Relief (17%)",UNKNOWN,
KOH_02461,Kohima,25.702276,94.08349,BLK_KOH_R15_C24,16.771313,1214.828735,-0.046476,6.294575,52.47,MODERATE,0.6096,MODERATE_TERRAIN_SIMILARITY,"Slope (39%), TWI (27%), Curvature (16%), Relief (18%)",UNKNOWN,
KOH_02462,Kohima,25.706791,94.083531,BLK_KOH_R15_C24,16.142872,1223.979492,-0.091695,6.567489,58.12,MODERATE,0.7705,HIGH_TERRAIN_SIMILARITY,"Slope (41%), TWI (28%), Curvature (16%), Relief (15%)",UNKNOWN,
KOH_02463,Kohima,25.711305,94.083572,BLK_KOH_R15_C24,19.47242,1302.78772,0.02516,5.941301,55.47,MODERATE,0.9158,HIGH_TERRAIN_SIMILARITY,"Slope (46%), TWI (22%), Curvature (12%), Relief (20%)",UNKNOWN,
KOH_02464,Kohima,25.715819,94.083613,BLK_KOH_R15_C24,16.021988,1350.426758,0.038283,5.943307,50.18,MODERATE,0.8092,HIGH_TERRAIN_SIMILARITY,"Slope (46%), TWI (24%), Curvature (13%), Relief (17%)",UNKNOWN,
KOH_02465,Kohima,25.720334,94.083654,BLK_KOH_R16_C24,19.347645,1305.266968,-0.052643,5.980761,55.19,MODERATE,0.8459,HIGH_TERRAIN_SIMILARITY,"Slope (44%), TWI (22%), Curvature (16%), Relief (18%)",UNKNOWN,
KOH_02466,Kohima,25.724848,94.083695,BLK_KOH_R16_C24,18.139669,1406.24353,0.268427,5.419744,42.67,LOW,0.6205,MODERATE_TERRAIN_SIMILARITY,"Slope (58%), TWI (21%), Curvature (3%), Relief (18%)",UNKNOWN,
KOH_02467,Kohima,25.729362,94.083735,BLK_KOH_R16_C24,18.814253,1371.126343,-0.015972,5.90859,54.45,MODERATE,0.8701,HIGH_TERRAIN_SIMILARITY,"Slope (45%), TWI (22%), Curvature (14%), Relief (19%)",UNKNOWN,
KOH_02468,Kohima,25.733876,94.083776,BLK_KOH_R16_C24,23.296852,1322.93457,0.027862,5.828337,57.45,MODERATE,0.8936,HIGH_TERRAIN_SIMILARITY,"Slope (47%), TWI (20%), Curvature (12%), Relief (21%)",UNKNOWN,
KOH_02469,Kohima,25.738391,94.083817,BLK_KOH_R16_C24,23.292717,1296.761719,-0.059806,6.064986,64.57,MODERATE,0.9451,HIGH_TERRAIN_SIMILARITY,"Slope (43%), TWI (20%), Curvature (14%), Relief (23%)",UNKNOWN,
KOH_02470,Kohima,25.742905,94.083858,BLK_KOH_R16_C24,23.272816,1290.408813,-0.004671,5.785093,59.94,MODERATE,0.9542,HIGH_TERRAIN_SIMILARITY,"Slope (46%), TWI (19%), Curvature (13%), Relief (22%)",UNKNOWN,
KOH_02471,Kohima,25.747419,94.083899,BLK_KOH_R16_C24,19.977909,1288.511475,0.002707,5.740324,54.93,MODERATE,0.9537,HIGH_TERRAIN_SIMILARITY,"Slope (48%), TWI (20%), Curvature (14%), Relief (18%)",UNKNOWN,
KOH_02472,Kohima,25.751933,94.08394,BLK_KOH_R16_C24,18.295767,1205.022705,-0.150002,6.15001,56.21,MODERATE,0.793,HIGH_TERRAIN_SIMILARITY,"Slope (42%), TWI (24%), Curvature (19%), Relief (15%)",UNKNOWN,
KOH_02473,Kohima,25.756448,94.083981,BLK_KOH_R16_C24,17.464714,1151.564087,-0.124678,6.063787,53.65,MODERATE,0.8078,HIGH_TERRAIN_SIMILARITY,"Slope (44%), TWI (24%), Curvature (19%), Relief (13%)",UNKNOWN,
KOH_02474,Kohima,25.760962,94.084022,BLK_KOH_R16_C24,19.197493,1186.732056,0.017557,5.628806,50.92,MODERATE,0.8899,HIGH_TERRAIN_SIMILARITY,"Slope (49%), TWI (20%), Curvature (14%), Relief (17%)",UNKNOWN,
KOH_02475,Kohima,25.765476,94.084063,BLK_KOH_R17_C24,19.579044,1266.889526,0.039001,5.67946,51.75,MODERATE,0.9186,HIGH_TERRAIN_SIMILARITY,"Slope (50%), TWI (20%), Curvature (13%), Relief (17%)",UNKNOWN,
KOH_02476,Kohima,25.769991,94.084104,BLK_KOH_R17_C24,19.616791,1322.269409,-0.012394,5.888689,56.6,MODERATE,0.9346,HIGH_TERRAIN_SIMILARITY,"Slope (46%), TWI (21%), Curvature (14%), Relief (19%)",UNKNOWN,
KOH_02477,Kohima,25.774505,94.084145,BLK_KOH_R17_C24,21.093647,1420.315308,0.080391,5.682176,54.39,MODERATE,0.8469,HIGH_TERRAIN_SIMILARITY,"Slope (48%), TWI (19%), Curvature (10%), Relief (23%)",UNKNOWN,
KOH_02478,Kohima,25.779019,94.084186,BLK_KOH_R17_C24,22.111094,1414.428833,0.012458,5.740913,58.84,MODERATE,0.9242,HIGH_TERRAIN_SIMILARITY,"Slope (46%), TWI (18%), Curvature (12%), Relief (24%)",UNKNOWN,
KOH_02479,Kohima,25.783533,94.084227,BLK_KOH_R17_C24,19.538219,1286.199341,0.02285,6.018122,55.34,MODERATE,0.8653,HIGH_TERRAIN_SIMILARITY,"Slope (44%), TWI (23%), Curvature (13%), Relief (20%)",UNKNOWN,
KOH_02480,Kohima,25.788048,94.084268,BLK_KOH_R17_C24,19.666382,1194.276855,-0.153932,6.839124,65.16,MODERATE,0.6582,MODERATE_TERRAIN_SIMILARITY,"Slope (38%), TWI (27%), Curvature (17%), Relief (18%)",UNKNOWN,
