cell_id,district,exposure_status,nearest_road_distance_m,nearest_road_class,road_length_in_cell_m,nearest_hospital_distance_m,nearest_hospital_name,nearest_school_distance_m,nearest_school_name
AIZ_08624,Aizawl,AVAILABLE,233.3,track,192.4,21355.3,CHC; Sakawrdai,21649.1,Children's Training School
AIZ_08625,Aizawl,AVAILABLE,704.3,track,0.0,20855.3,CHC; Sakawrdai,21190.3,Children's Training School
AIZ_08626,Aizawl,AVAILABLE,1198.6,track,0.0,20355.3,CHC; Sakawrdai,20733.5,Children's Training School
AIZ_08627,Aizawl,AVAILABLE,1696.3,track,0.0,19855.3,CHC; Sakawrdai,20278.7,Children's Training School
AIZ_08628,Aizawl,AVAILABLE,2195.0,track,0.0,19355.4,CHC; Sakawrdai,19826.1,Children's Training School
AIZ_08629,Aizawl,AVAILABLE,2476.2,trunk,0.0,18855.4,CHC; Sakawrdai,19375.7,Children's Training School
AIZ_08630,Aizawl,AVAILABLE,2426.6,trunk,0.0,18355.4,CHC; Sakawrdai,18927.9,Children's Training School
AIZ_08631,Aizawl,AVAILABLE,2478.3,trunk,0.0,17855.4,CHC; Sakawrdai,18482.8,Children's Training School
AIZ_08632,Aizawl,AVAILABLE,2625.2,trunk,0.0,17355.5,CHC; Sakawrdai,18040.5,Children's Training School
AIZ_08633,Aizawl,AVAILABLE,2852.6,trunk,0.0,16855.5,CHC; Sakawrdai,17601.4,Children's Training School
AIZ_08634,Aizawl,AVAILABLE,3143.4,trunk,0.0,16355.5,CHC; Sakawrdai,17165.5,Children's Training School
AIZ_08635,Aizawl,AVAILABLE,3118.0,trunk,0.0,15855.5,CHC; Sakawrdai,16733.3,Children's Training School
AIZ_08636,Aizawl,AVAILABLE,3052.2,trunk,0.0,15355.6,CHC; Sakawrdai,16304.9,Children's Training School
AIZ_08637,Aizawl,AVAILABLE,2991.6,residential,0.0,14855.6,CHC; Sakawrdai,15880.7,Children's Training School
AIZ_08638,Aizawl,AVAILABLE,2736.1,residential,0.0,14355.6,CHC; Sakawrdai,15461.1,Children's Training School
AIZ_08639,Aizawl,AVAILABLE,2554.0,residential,0.0,13855.7,CHC; Sakawrdai,15046.3,Children's Training School
AIZ_08640,Aizawl,AVAILABLE,2461.7,residential,0.0,13355.7,CHC; Sakawrdai,14636.9,Children's Training School
AIZ_08641,Aizawl,AVAILABLE,2469.1,residential,0.0,12855.8,CHC; Sakawrdai,14233.3,Children's Training School
AIZ_08642,Aizawl,AVAILABLE,2575.5,residential,0.0,12355.8,CHC; Sakawrdai,13836.0,Children's Training School
AIZ_08643,Aizawl,AVAILABLE,2769.5,residential,0.0,11855.9,CHC; Sakawrdai,13445.5,Children's Training School
AIZ_08644,Aizawl,AVAILABLE,2595.4,trunk,0.0,11355.9,CHC; Sakawrdai,13062.5,Children's Training School
AIZ_08645,Aizawl,AVAILABLE,2370.5,trunk,0.0,10856.0,CHC; Sakawrdai,12687.6,Children's Training School
AIZ_08646,Aizawl,AVAILABLE,2236.1,trunk,0.0,10356.1,CHC; Sakawrdai,12321.6,Children's Training School
AIZ_08647,Aizawl,AVAILABLE,1877.7,trunk,0.0,9856.2,CHC; Sakawrdai,11965.4,Children's Training School
