area_id,area_name,place_type,latitude,longitude,source,source_url,source_date,state,district
KOH_LOC_041,Ighanumi,village,25.760301,94.311756,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_042,Piphema,village,25.750956,93.959403,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_043,Rebwak,village,25.580729,93.909753,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_044,Poilwa,village,25.584368,93.926982,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_045,Viswema,village,25.563971,94.146585,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_046,Mao Gate,village,25.513614,94.137415,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_047,Kitami,village,25.980207,94.308234,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_048,Tsaphimi,village,25.981418,94.298445,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_049,Ehenu,village,25.977587,94.270325,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_050,Kandinu,village,25.99915,94.255034,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_051,Nsunyu,village,25.980068,94.235221,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_052,Tesophenyu Old,village,25.971364,94.211352,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_053,Ziphenyu,village,25.963128,94.20853,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_054,Khuzama,village,25.535404,94.135246,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_055,Sweba,village,25.568694,94.134999,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_056,Jakhama,village,25.584539,94.135016,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_057,Kigwema Town,village,25.60196,94.119041,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_058,Mima,village,25.609784,94.143471,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_059,Mitelephe,village,25.625439,94.18287,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_060,Chakhabama,village,25.647309,94.207047,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_061,Pfuchama,village,25.643518,94.129706,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_062,Phesama,village,25.629931,94.115341,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_063,Gukhanyu,village,25.929391,94.260981,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_064,Zunpha,village,25.913882,94.203672,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
