area_id,area_name,cell_id,distance_to_cell_m,association_method,source
KOH_LOC_001,Khonoma,KOH_01270,1147.99,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_001,Khonoma,KOH_01271,651.53,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_001,Khonoma,KOH_01272,186.91,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_001,Khonoma,KOH_01273,386.6,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_001,Khonoma,KOH_01274,876.39,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_005,Mezoma,KOH_01275,895.44,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_005,Mezoma,KOH_01276,585.95,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_005,Mezoma,KOH_01277,623.55,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_005,Mezoma,KOH_01278,968.66,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_006,Mezo Basa,KOH_01279,1015.15,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_007,Sechuma,KOH_01280,1177.92,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_007,Sechuma,KOH_01281,1005.21,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_007,Sechuma,KOH_01282,1066.42,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_007,Sechuma,KOH_01283,1329.64,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_007,Sechuma,KOH_01284,1703.84,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_008,Kiruphema Bawe,KOH_01285,1364.45,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_008,Kiruphema Bawe,KOH_01286,904.44,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_008,Kiruphema Bawe,KOH_01287,527.64,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_081,Kiruphe Basa,KOH_01288,228.49,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_081,Kiruphe Basa,KOH_01289,434.9,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_081,Kiruphe Basa,KOH_01290,911.02,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_081,Kiruphe Basa,KOH_01291,1405.25,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_010,Peducha,KOH_01292,1725.59,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_010,Peducha,KOH_01293,1923.7,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_010,Peducha,KOH_01294,2219.94,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_082,Mengujuma,KOH_01295,2447.33,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_082,Mengujuma,KOH_01296,2200.16,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_082,Mengujuma,KOH_01297,2048.47,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_082,Mengujuma,KOH_01298,2013.91,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_082,Mengujuma,KOH_01299,2102.22,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_082,Mengujuma,KOH_01300,2299.26,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_072,Viphoma,KOH_01311,2163.61,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_072,Viphoma,KOH_01312,1898.53,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_072,Viphoma,KOH_01313,1741.31,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_072,Viphoma,KOH_01314,1721.57,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_072,Viphoma,KOH_01315,1843.74,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_072,Viphoma,KOH_01316,2083.05,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_072,Viphoma,KOH_01317,2404.7,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_071,Phekerkrie Basa,KOH_01320,2187.5,nearest_centroid_max_2500m,OpenStreetMap Overpass API
